#,Game,Releasedate,Price,Owners,Owners-low,Owners-high
22,Resident Evil 4,3/23/2023,$59.99 ,"2,000,000??..??5,000,000",2000000,5000000
31,Barotrauma,3/13/2023,$26.24 ,"1,000,000??..??2,000,000",1000000,2000000
1,Wartales,4/12/2023,$26.24 ,"500,000??..??1,000,000",500000,1000000
2,Boundary,4/13/2023,$22.49 ,"200,000??..??500,000",200000,200000
5,EVERSPACE 2,4/6/2023,$49.99 ,"200,000??..??500,000",200000,200000
12,Crab Champions,4/1/2023,$9.99 ,"200,000??..??500,000",200000,200000
15,DREDGE,3/30/2023,$24.99 ,"200,000??..??500,000",200000,200000
17,The Last of Us Part I,3/28/2023,$59.99 ,"200,000??..??500,000",200000,200000
21,Demonologist,3/27/2023,$14.99 ,"200,000??..??500,000",200000,200000
24,Have a Nice Death,3/22/2023,$24.99 ,"200,000??..??500,000",200000,200000
60,Crimson Dawn,4/11/2023,$3.99 ,"200,000??..??500,000",200000,200000
67,The Library of Babel,4/6/2023,$18.99 ,"200,000??..??500,000",200000,500000
10,Wall World,4/5/2023,$4.99 ,"100,000??..??200,000",100000,200000
16,Smalland: Survive the Wilds,3/29/2023,$24.99 ,"100,000??..??200,000",100000,200000
20,ZED ZONE,3/29/2023,$11.99 ,"100,000??..??200,000",100000,200000
25,Storyteller,3/23/2023,$14.99 ,"100,000??..??200,000",100000,200000
34,Fabledom,4/13/2023,$14.39 ,"100,000??..??200,000",100000,200000
36,Shardpunk: Verminfall,4/13/2023,$10.79 ,"100,000??..??200,000",100000,200000
43,Bio Prototype,4/11/2023,$3.99 ,"100,000??..??200,000",100000,200000
3,Wildfrost,4/12/2023,$19.99 ,"50,000??..??100,000",50000,100000
6,Ravenswatch,4/6/2023,$19.99 ,"50,000??..??100,000",50000,100000
7,Meet Your Maker,4/4/2023,$29.99 ,"50,000??..??100,000",50000,100000
19,Terra Nil,3/28/2023,$24.99 ,"50,000??..??100,000",50000,100000
26,Deceive Inc.,3/21/2023,$19.99 ,"50,000??..??100,000",50000,100000
28,Apewar,3/24/2023,$0.99 ,"50,000??..??100,000",50000,100000
29,WWE 2K23,3/16/2023,$59.99 ,"50,000??..??100,000",50000,100000
32,Spin Rhythm XD,3/14/2023,$19.99 ,"50,000??..??100,000",50000,100000
38,Mega Man Battle Network Legacy Collection Vol. 1,4/13/2023,$39.99 ,"50,000??..??100,000",50000,100000
64,Rendezvous,4/10/2023,$11.69 ,"50,000??..??100,000",50000,100000
70,Fruit Ninja VR 2,4/7/2023,$24.99 ,"50,000??..??100,000",50000,100000
79,Blocky Dungeon,4/6/2023,$9.99 ,"50,000??..??100,000",50000,100000
87,Papa's Freezeria Deluxe,3/31/2023,$5.99 ,"50,000??..??100,000",50000,100000
90,Tainted Grail: The Fall of Avalon,3/30/2023,$29.99 ,"50,000??..??100,000",50000,100000
91,Brinefall,4/3/2023,$19.99 ,"50,000??..??100,000",50000,100000
95,Ravenbound,3/30/2023,$29.99 ,"50,000??..??100,000",50000,100000
98,Filthy Animals | Heist Simulator,4/4/2023,$19.99 ,"50,000??..??100,000",50000,100000
4,Sherlock Holmes The Awakened,4/11/2023,$39.99 ,"20,000??..??50,000",20000,50000
9,STRANGER OF PARADISE FINAL FANTASY ORIGIN,4/6/2023,$39.99 ,"20,000??..??50,000",20000,50000
18,Sifu,3/28/2023,$39.99 ,"20,000??..??50,000",20000,50000
27,West Hunt,3/23/2023,$9.99 ,"20,000??..??50,000",20000,50000
33,Crafty Survivors,3/15/2023,$3.99 ,"20,000??..??50,000",20000,50000
40,Lightracer Spark,4/12/2023,$11.69 ,"20,000??..??50,000",20000,50000
41,Coal Mining Simulator,4/11/2023,$11.99 ,"20,000??..??50,000",20000,50000
48,Tron: Identity,4/11/2023,$14.99 ,"20,000??..??50,000",20000,50000
50,Oxygen,4/7/2023,$14.99 ,"20,000??..??50,000",20000,50000
57,Supplice,4/6/2023,$12.74 ,"20,000??..??50,000",20000,50000
61,Beyond Contact,4/4/2023,$19.99 ,"20,000??..??50,000",20000,50000
66,TerraScape,4/5/2023,$12.99 ,"20,000??..??50,000",20000,50000
86,Moviehouse ?€? The Film Studio Tycoon,4/5/2023,$10.99 ,"20,000??..??50,000",20000,50000
88,The Great War: Western Front,3/30/2023,$34.99 ,"20,000??..??50,000",20000,50000
97,Plasma,3/30/2023,$19.99 ,"20,000??..??50,000",20000,50000
100,Minds of Nations,4/11/2023,$19.99 ,"20,000??..??50,000",20000,50000
8,Song Of The Prairie,4/6/2023,$19.99 ,"0??..??20,000",0,20000
11,EA SPORTS PGA TOUR,4/6/2023,$69.99 ,"0??..??20,000",0,20000
13,Spiritfall,4/3/2023,$17.99 ,"0??..??20,000",0,20000
14,All-In-One Sports VR,4/7/2023,$19.99 ,"0??..??20,000",0,20000
23,ALTF42,3/30/2023,$3.99 ,"0??..??20,000",0,20000
30,Can of Wormholes,3/24/2023,$19.99 ,"0??..??20,000",0,20000
35,Hunt the Night,4/13/2023,$19.99 ,"0??..??20,000",0,20000
37,Cardboard Town,4/12/2023,$19.99 ,"0??..??20,000",0,20000
39,Mega Man Battle Network Legacy Collection Vol. 2,4/13/2023,$39.99 ,"0??..??20,000",0,20000
42,Breachers,4/13/2023,$29.99 ,"0??..??20,000",0,20000
44,Fast and Low,4/12/2023,$20.99 ,"0??..??20,000",0,20000
45,Plantera 2: Golden Acorn,4/12/2023,$3.99 ,"0??..??20,000",0,20000
46,Screaming Chicken: Ultimate Showdown,4/13/2023,$13.49 ,"0??..??20,000",0,20000
47,Rusted Moss,4/11/2023,$17.99 ,"0??..??20,000",0,20000
49,Princess & Conquest,4/14/2023,$11.99 ,"0??..??20,000",0,20000
51,Russian Train Trip 2,4/14/2023,$5.27 ,"0??..??20,000",0,20000
52,Sidestep Legends,4/13/2023,$4.99 ,"0??..??20,000",0,20000
53,Miniland Adventure,4/10/2023,$9.89 ,"0??..??20,000",0,20000
54,Passpartout 2: The Lost Artist,4/4/2023,$24.99 ,"0??..??20,000",0,20000
55,Curse of the Sea Rats,4/6/2023,$19.99 ,"0??..??20,000",0,20000
56,Unscripted,4/11/2023,$12.99 ,"0??..??20,000",0,20000
58,Cynthia: Hidden in the Moonshadow,4/10/2023,$12.59 ,"0??..??20,000",0,20000
59,Lone Fungus,4/7/2023,$19.99 ,"0??..??20,000",0,20000
62,The Seekers: Survival,4/14/2023,$12.74 ,"0??..??20,000",0,20000
63,Moonleap,4/11/2023,$7.99 ,"0??..??20,000",0,20000
65,HYPERVIOLENT,4/6/2023,$14.99 ,"0??..??20,000",0,20000
68,The Voidness - Lidar Horror Survival Game,4/6/2023,$11.99 ,"0??..??20,000",0,20000
69,The Magical Mixture Mill,4/5/2023,$19.99 ,"0??..??20,000",0,20000
71,Gambit!,4/6/2023,$19.99 ,"0??..??20,000",0,20000
72,Grimgrad,4/5/2023,$16.99 ,"0??..??20,000",0,20000
73,NecroCity,4/5/2023,$9.99 ,"0??..??20,000",0,20000
74,MINDHACK,4/5/2023,$12.99 ,"0??..??20,000",0,20000
75,Kujlevka,4/6/2023,$19.99 ,"0??..??20,000",0,20000
76,Organs Please,4/5/2023,$13.99 ,"0??..??20,000",0,20000
77,Soundodger 2,4/10/2023,$17.99 ,"0??..??20,000",0,20000
78,Troublemaker,3/31/2023,$19.99 ,"0??..??20,000",0,20000
80,Grow Your Pets,4/12/2023,$4.99 ,"0??..??20,000",0,20000
81,Dice Kingdoms,4/3/2023,$16.99 ,"0??..??20,000",0,20000
82,Zedfest,4/7/2023,$14.99 ,"0??..??20,000",0,20000
83,Rally Car,4/8/2023,$0.59 ,"0??..??20,000",0,20000
84,Melon Journey: Bittersweet Memories,4/6/2023,$14.99 ,"0??..??20,000",0,20000
85,Undeadly,4/6/2023,$19.99 ,"0??..??20,000",0,20000
89,Interior Worlds,4/7/2023,$9.99 ,"0??..??20,000",0,20000
92,Murderous Muses,4/11/2023,$13.99 ,"0??..??20,000",0,20000
93,Amigo: Kebab Simulator,4/3/2023,$10.99 ,"0??..??20,000",0,20000
94,1971: Indian Naval Front,4/5/2023,$14.99 ,"0??..??20,000",0,20000
96,Kabaret,4/4/2023,$19.99 ,"0??..??20,000",0,20000
99,Witch's Garden,4/7/2023,$29.99 ,"0??..??20,000",0,20000
